10.0 pF,1206,C0G/NP0,1000.0,±5%,C1206C100JDGACTU,KEMET,17.0,6216,
10.0 pF,-1,C0G/NP0,200.0,±5%,C317C100J2G5TA,KEMET,-1,4554,
10.0 pF,0805,C0G/NP0,50.0,±10%,C0805C100K5GACTU,KEMET,2.6,24848,
10.0 pF,0805,C0G/NP0,1000.0,±5%,C0805C100JDGACTU,KEMET,6.2,152232,
10.0 pF,-1,C0G/NP0,100.0,±5%,C317C100J1G5TA,KEMET,-1,1000,
10.0 pF,0603,C0G/NP0,50.0,±10%,C0603C100K5GACTU,KEMET,2.4,63535,
10.0 pF,1206,C0G/NP0,200.0,±5%,C1206C100J2GACTU,KEMET,6.8,0,
10.0 pF,0805,C0G/NP0,200.0,±5%,C0805C100J2GACTU,KEMET,3.6,0,
10.0 pF,1206,C0G/NP0,500.0,±5%,C1206C100JCGACTU,KEMET,16.6,5655,
10.0 pF,0805,C0G/NP0,500.0,±5%,C0805C100JCGACTU,KEMET,5.8,6653,
10.0 pF,0603,C0G/NP0,200.0,±5%,C0603C100J2GACTU,KEMET,3.8,0,
10.0 pF,-1,X7R,200.0,±10%,CK05BX100K,KEMET,-1,598,
12.0 pF,0603,C0G/NP0,50.0,±5%,C0603C120J5GACTU,KEMET,0.5,76863,
12.0 pF,0805,C0G/NP0,50.0,±5%,C0805C120J5GACTU,KEMET,0.7,64094,
12.0 pF,1206,C0G/NP0,50.0,±5%,C1206C120J5GACTU,KEMET,2.1,16232,
12.0 pF,0402,C0G/NP0,50.0,±5%,C0402C120J5GACTU,KEMET,0.5,760613,
12.0 pF,0603,C0G/NP0,100.0,±5%,C0603C120J1GACTU,KEMET,1.6,6846,
15.0 pF,0402,C0G/NP0,50.0,±5%,C0402C150J5GACTU,KEMET,0.4,299938,
15.0 pF,0603,C0G/NP0,50.0,±5%,C0603C150J5GACTU,KEMET,0.5,88261,
15.0 pF,0805,C0G/NP0,50.0,±5%,C0805C150J5GACTU,KEMET,0.5,53071,
15.0 pF,-1,C0G/NP0,200.0,±5%,C315C150J2G5TA,KEMET,-1,223,
15.0 pF,1206,C0G/NP0,50.0,±5%,C1206C150J5GACTU,KEMET,1.5,20207,
15.0 pF,-1,C0G/NP0,200.0,±5%,C322C150J2G5TA,KEMET,-1,272,
15.0 pF,0805,C0G/NP0,100.0,±5%,C0805C150J1GACTU,KEMET,0.9,20335,
15.0 pF,-1,C0G/NP0,200.0,±5%,C320C150J2G5TA,KEMET,-1,362,
15.0 pF,0603,C0G/NP0,100.0,±5%,C0603C150J1GACTU,KEMET,1.6,13532,
15.0 pF,0603,C0G/NP0,200.0,±5%,C0603C150J2GACTU,KEMET,3.8,0,
18.0 pF,0603,C0G/NP0,50.0,±5%,C0603C180J5GACTU,KEMET,0.3,452227,
18.0 pF,0805,C0G/NP0,50.0,±5%,C0805C180J5GACTU,KEMET,0.7,144387,
18.0 pF,-1,C0G/NP0,200.0,±5%,C315C180J2G5TA,KEMET,-1,4130,
18.0 pF,1206,C0G/NP0,50.0,±5%,C1206C180J5GACTU,KEMET,1.9,11266,
18.0 pF,0603,C0G/NP0,100.0,±5%,C0603C180J1GACTU,KEMET,1.6,2943,
18.0 pF,0603,C0G/NP0,200.0,±5%,C0603C180J2GACTU,KEMET,5.493,0,
22.0 pF,0402,C0G/NP0,50.0,±5%,C0402C220J5GACTU,KEMET,0.3,388491,
22.0 pF,0805,C0G/NP0,50.0,±5%,C0805C220J5GACTU,KEMET,0.5,531466,
22.0 pF,0805,C0G/NP0,100.0,±5%,C0805C220J1GACTU,KEMET,0.7,30608,
22.0 pF,-1,C0G/NP0,200.0,±5%,C315C220J2G5TA,KEMET,-1,8327,
22.0 pF,0603,C0G/NP0,50.0,±5%,C0603C220J5GACTU,KEMET,0.4,199976,
22.0 pF,1206,C0G/NP0,50.0,±5%,C1206C220J5GACTU,KEMET,1.5,63166,
22.0 pF,1206,C0G/NP0,100.0,±5%,C1206C220J1GACTU,KEMET,2.1,1548,
22.0 pF,-1,C0G/NP0,200.0,±5%,C317C220J2G5TA,KEMET,-1,4215,
22.0 pF,0603,C0G/NP0,100.0,±5%,C0603C220J1GACTU,KEMET,1.3,189495,
22.0 pF,-1,C0G/NP0,200.0,±5%,C320C220J2G5TA,KEMET,-1,1688,
22.0 pF,0805,C0G/NP0,50.0,±10%,C0805C220K5GACTU,KEMET,2.2,46584,
22.0 pF,-1,C0G/NP0,100.0,±10%,C410C220K1G5TA,KEMET,-1,4480,
22.0 pF,-1,X7R,200.0,±10%,CK05BX220K,KEMET,-1,1582,
22.0 pF,0603,C0G/NP0,200.0,±5%,C0603C220J2GACTU,KEMET,5.493,0,
22.0 pF,0805,C0G/NP0,200.0,±5%,C0805C220J2GACTU,KEMET,3.6,378,
27.0 pF,0402,C0G/NP0,50.0,±5%,C0402C270J5GACTU,KEMET,0.3,121755,
27.0 pF,-1,C0G/NP0,200.0,±5%,C315C270J2G5TA,KEMET,-1,3331,
27.0 pF,0603,C0G/NP0,50.0,±5%,C0603C270J5GACTU,KEMET,0.3,203582,
27.0 pF,0805,C0G/NP0,50.0,±5%,C0805C270J5GACTU,KEMET,0.5,102596,
27.0 pF,1206,C0G/NP0,50.0,±5%,C1206C270J5GACTU,KEMET,1.2,23786,
27.0 pF,0603,C0G/NP0,100.0,±5%,C0603C270J1GACTU,KEMET,1.6,2358,
27.0 pF,0603,C0G/NP0,200.0,±5%,C0603C270J2GACTU,KEMET,3.8,0,
27.0 pF,-1,C0G/NP0,200.0,±10%,C315C270K2G5TA,KEMET,-1,900,
33.0 pF,0402,C0G/NP0,50.0,±5%,C0402C330J5GACTU,KEMET,0.2,250045,
33.0 pF,0603,C0G/NP0,50.0,±5%,C0603C330J5GACTU,KEMET,0.2,186272,
33.0 pF,0805,C0G/NP0,50.0,±5%,C0805C330J5GACTU,KEMET,0.5,119896,
33.0 pF,-1,C0G/NP0,200.0,±5%,C315C330J2G5TA,KEMET,-1,1064,
33.0 pF,1206,C0G/NP0,50.0,±5%,C1206C330J5GACTU,KEMET,1.5,26769,
33.0 pF,-1,C0G/NP0,200.0,±10%,C315C330K2G5TA,KEMET,-1,191,
33.0 pF,0805,C0G/NP0,100.0,±5%,C0805C330J1GACTU,KEMET,0.9,21895,
33.0 pF,-1,C0G/NP0,200.0,±5%,C317C330J2G5TA,KEMET,-1,1045,
33.0 pF,0603,C0G/NP0,200.0,±5%,C0603C330J2GACTU,KEMET,3.8,27567,
33.0 pF,-1,X7R,200.0,±10%,CK05BX330K,KEMET,-1,664,
33.0 pF,0603,C0G/NP0,100.0,±5%,C0603C330J1GACTU,KEMET,0.6,43770,
33.0 pF,1206,C0G/NP0,1000.0,±10%,C1206C330KDGACTU,KEMET,16.5,9076,
39.0 pF,0402,C0G/NP0,50.0,±5%,C0402C390J5GACTU,KEMET,0.3,88988,
39.0 pF,0603,C0G/NP0,50.0,±5%,C0603C390J5GACTU,KEMET,0.3,32871,
39.0 pF,-1,C0G/NP0,200.0,±5%,C317C390J2G5TA,KEMET,-1,1153,
39.0 pF,0805,C0G/NP0,50.0,±5%,C0805C390J5GACTU,KEMET,2.7,41444,
39.0 pF,1206,C0G/NP0,50.0,±5%,C1206C390J5GACTU,KEMET,4.9,8707,
39.0 pF,0603,C0G/NP0,100.0,±5%,C0603C390J1GACTU,KEMET,3.3,2330,
